"","position","cost","team","total_points","full_name"
"35","MID",66,"Aston Villa",32,"Philippe Coutinho"
"36","GK",49,"Aston Villa",78,"Emiliano Martínez"
"37","DEF",42,"Aston Villa",6,"Calum Chambers"
"38","DEF",46,"Aston Villa",42,"Lucas Digne"
"39","MID",49,"Aston Villa",0,"Bertrand Traoré"
"40","GK",39,"Aston Villa",9,"Robin Olsen"
"41","MID",43,"Aston Villa",2,"Morgan Sanson"
"42","MID",51,"Aston Villa",54,"John McGinn"
"43","DEF",44,"Aston Villa",0,"Kortney Hause"
"44","DEF",43,"Aston Villa",70,"Tyrone Mings"
"45","FWD",73,"Aston Villa",102,"Ollie Watkins"
"46","MID",43,"Aston Villa",0,"Marvelous Nakamba"
"47","MID",57,"Aston Villa",75,"Emiliano Buendía"
"48","DEF",46,"Aston Villa",45,"Matty Cash"
"49","DEF",44,"Aston Villa",64,"Ezri Konsa"
"50","MID",44,"Aston Villa",78,"Leon Bailey"
"51","MID",48,"Aston Villa",75,"Douglas Luiz Douglas Luiz"
"52","MID",52,"Aston Villa",63,"Jacob Ramsey"
"53","MID",45,"Aston Villa",0,"Tim Iroegbunam"
"54","DEF",47,"Aston Villa",3,"Diego Carlos Diego Carlos"
"55","MID",48,"Aston Villa",0,"Anwar El Ghazi"
"56","FWD",54,"Aston Villa",0,"Keinan Davis"
"57","MID",48,"Aston Villa",38,"Boubacar Kamara"
"58","FWD",42,"Aston Villa",6,"Cameron Archer"
"59","MID",45,"Aston Villa",0,"Jaden Philogene-Bidace"
"60","DEF",39,"Aston Villa",0,"Frédéric Guilbert"
"61","MID",47,"Aston Villa",24,"Leander Dendoncker"
"62","DEF",43,"Aston Villa",2,"Ludwig Augustinsson"
"63","DEF",40,"Aston Villa",0,"Kaine Kesler Hayden"
"64","DEF",43,"Aston Villa",53,"Ashley Young"
"65","DEF",40,"Aston Villa",0,"Lamare Bogarde"
"66","GK",40,"Aston Villa",0,"Filip Marschall"
"67","MID",45,"Aston Villa",0,"Kadan Kadan Young"
"68","DEF",44,"Aston Villa",19,"Alexandre Álex Moreno"
"69","GK",40,"Aston Villa",0,"Viljami Sinisalo"
"70","FWD",55,"Aston Villa",4,"Jhon Durán"
"71","DEF",40,"Aston Villa",0,"Sil Swinkels"
"72","GK",40,"Aston Villa",0,"Oliwier Zych"
"151","MID",48,"Brighton",47,"Adam Lallana"
"152","GK",39,"Brighton",6,"Jason Steele"
"153","FWD",65,"Brighton",50,"Danny Welbeck"
"154","MID",54,"Brighton",103,"Pascal Groß"
"155","DEF",47,"Brighton",68,"Lewis Dunk"
"156","MID",51,"Brighton",108,"Solly March"
"157","DEF",45,"Brighton",49,"Adam Webster"
"158","DEF",46,"Brighton",74,"Joël Veltman"
"159","GK",46,"Brighton",81,"Robert Sánchez"
"160","DEF",42,"Brighton",23,"Tariq Lamptey"
"161","MID",44,"Brighton",0,"Steven Alzate"
"162","MID",54,"Brighton",84,"Alexis Mac Allister"
"163","MID",44,"Brighton",0,"Jakub Moder"
"164","MID",53,"Brighton",11,"Enock Mwepu"
"165","MID",45,"Brighton",15,"Jeremy Sarmiento"
"166","MID",50,"Brighton",51,"Moisés Caicedo"
"167","MID",45,"Brighton",0,"Taylor Richards"
"168","DEF",40,"Brighton",0,"Haydon Roberts"
"169","FWD",50,"Brighton",12,"Deniz Undav"
"170","MID",55,"Brighton",84,"Kaoru Mitoma"
"171","FWD",46,"Brighton",8,"Julio Enciso"
"172","MID",45,"Brighton",0,"Kacper Kozłowski"
"173","MID",42,"Brighton",7,"Billy Gilmour"
"174","GK",40,"Brighton",0,"Kjell Scherpen"
"175","DEF",40,"Brighton",0,"Matt Clarke"
"176","DEF",40,"Brighton",2,"Jan Paul Van Hecke"
"177","DEF",44,"Brighton",15,"Levi Colwill"
"178","DEF",48,"Brighton",70,"Pervis Estupiñán"
"179","FWD",46,"Brighton",33,"Evan Ferguson"
"180","DEF",40,"Brighton",0,"Ed Turns"
"181","MID",45,"Brighton",1,"Andrew Moran"
"182","DEF",40,"Brighton",0,"James Furlong"
"183","MID",45,"Brighton",0,"Jack Hinshelwood"
"184","MID",45,"Brighton",6,"Facundo Buonanotte"
"185","MID",45,"Brighton",0,"Yasin Ayari"
"186","DEF",40,"Brighton",0,"Odeluga Offiah"
"187","MID",43,"Chelsea",12,"Carney Chukwuemeka"
"188","DEF",50,"Chelsea",56,"Marc Cucurella"
"189","DEF",48,"Chelsea",40,"César Azpilicueta"
"190","DEF",54,"Chelsea",72,"Thiago Thiago Silva"
"191","DEF",53,"Chelsea",0,"Marcos Alonso"
"192","MID",49,"Chelsea",0,"Ross Barkley"
"193","MID",49,"Chelsea",29,"Mateo Kovacic"
"194","GK",47,"Chelsea",84,"Kepa Arrizabalaga"
"195","MID",48,"Chelsea",5,"N'Golo Kanté"
"196","MID",55,"Chelsea",22,"Hakim Ziyech"
"197","MID",50,"Chelsea",33,"Ruben Loftus-Cheek"
"198","FWD",79,"Chelsea",0,"Timo Werner"
"199","DEF",39,"Chelsea",0,"Robert Kenedy Kenedy"
"200","DEF",58,"Chelsea",47,"Ben Chilwell"
"201","MID",56,"Chelsea",29,"Christian Pulisic"
"202","DEF",44,"Chelsea",37,"Trevoh Chalobah"
"203","MID",72,"Chelsea",81,"Mason Mount"
"204","DEF",50,"Chelsea",0,"Malang Sarr"
"205","MID",53,"Chelsea",0,"Callum Hudson-Odoi"
"206","FWD",75,"Chelsea",71,"Kai Havertz"
"207","DEF",58,"Chelsea",31,"Reece James"
"208","GK",48,"Chelsea",23,"Edouard Mendy"
"209","MID",56,"Chelsea",35,"Conor Gallagher"
"210","FWD",52,"Chelsea",21,"Armando Broja"
"211","DEF",44,"Chelsea",0,"Ethan Ampadu"
"212","DEF",43,"Chelsea",20,"Wesley W.Fofana"
"213","MID",97,"Chelsea",68,"Raheem Sterling"
"214","DEF",55,"Chelsea",57,"Kalidou Koulibaly"
"215","MID",45,"Chelsea",0,"Harvey Vale"
"216","MID",49,"Chelsea",11,"Denis Zakaria"
"217","FWD",84,"Chelsea",22,"Pierre-Emerick Aubameyang"
"218","GK",40,"Chelsea",0,"Marcus Bettinelli"
"219","MID",43,"Chelsea",1,"Omari Hutchinson"
"220","MID",44,"Chelsea",8,"Lewis Hall"
"221","DEF",45,"Chelsea",0,"Bashir Humphreys"
"222","FWD",50,"Chelsea",2,"David Datro D.D.Fofana"
"223","DEF",50,"Chelsea",29,"Benoît Badiashile"
"224","FWD",76,"Chelsea",13,"João João Félix"
"225","MID",66,"Chelsea",6,"Mykhailo Mudryk"
"226","MID",45,"Chelsea",0,"Andrey Andrey Santos"
"227","MID",55,"Chelsea",6,"Noni Madueke"
"228","MID",50,"Chelsea",16,"Enzo Enzo"
"229","MID",43,"Crystal Palace",17,"Albert Sambi"
"230","GK",44,"Crystal Palace",94,"Vicente Guaita"
"231","DEF",39,"Crystal Palace",8,"James Tomkins"
"232","MID",48,"Crystal Palace",1,"James McArthur"
"233","FWD",55,"Crystal Palace",0,"Christian Benteke"
"234","DEF",44,"Crystal Palace",42,"Joel Ward"
"235","DEF",45,"Crystal Palace",35,"Nathaniel Clyne"
"236","MID",42,"Crystal Palace",14,"Luka Milivojevic"
"237","MID",53,"Crystal Palace",58,"Jordan J.Ayew"
"238","MID",72,"Crystal Palace",79,"Wilfried Zaha"
