"","position","cost","team","total_points","full_name"
"1","MID",49,"Arsenal",94,"Granit Xhaka"
"2","MID",41,"Arsenal",6,"Mohamed Elneny"
"3","DEF",42,"Arsenal",7,"Rob Holding"
"4","MID",47,"Arsenal",67,"Thomas Partey"
"5","MID",70,"Arsenal",144,"Martin Ødegaard"
"6","DEF",46,"Arsenal",24,"Kieran Tierney"
"7","MID",53,"Arsenal",0,"Nicolas Pépé"
"8","DEF",47,"Arsenal",110,"Benjamin White"
"9","FWD",67,"Arsenal",57,"Eddie Nketiah"
"10","MID",56,"Arsenal",10,"Emile Smith Rowe"
"11","MID",85,"Arsenal",149,"Bukayo Saka"
"12","DEF",42,"Arsenal",31,"Takehiro Tomiyasu"
"13","GK",49,"Arsenal",103,"Aaron Ramsdale"
"14","DEF",52,"Arsenal",108,"Gabriel Gabriel"
"15","DEF",45,"Arsenal",0,"Nuno Tavares"
"16","MID",65,"Arsenal",142,"Gabriel Martinelli"
"17","DEF",45,"Arsenal",0,"Pablo Pablo Marí"
"18","MID",45,"Arsenal",0,"Lucas Torreira"
"19","MID",47,"Arsenal",31,"Reiss Nelson"
"20","GK",38,"Arsenal",0,"Matt Turner"
"21","MID",56,"Arsenal",34,"Fábio Fábio Vieira"
"22","DEF",53,"Arsenal",110,"William Saliba"
"23","MID",46,"Arsenal",1,"Marcus Marquinhos"
"24","FWD",79,"Arsenal",69,"Gabriel Jesus"
"25","MID",66,"Arsenal",107,"Leandro Trossard"
"26","MID",58,"Arsenal",61,"Jorge Luiz Jorginho"
"27","DEF",52,"Arsenal",80,"Oleksandr Zinchenko"
"28","MID",44,"Arsenal",0,"Matthew Smith"
"29","MID",45,"Arsenal",1,"Ethan Nwaneri"
"30","DEF",40,"Arsenal",0,"Lino Sousa"
"31","GK",39,"Arsenal",0,"Karl Hein"
"32","MID",45,"Arsenal",0,"Amario Cozier-Duberry"
"33","FWD",45,"Arsenal",0,"Nathan Butler-Oyedeji"
"34","DEF",40,"Arsenal",0,"Jakub Kiwior"
"73","DEF",43,"Bournemouth",49,"Adam Smith"
"74","MID",48,"Bournemouth",4,"Junior Stanislas"
"75","DEF",44,"Bournemouth",11,"Ryan Fredericks"
"76","MID",53,"Bournemouth",0,"David Brooks"
"77","MID",52,"Bournemouth",2,"Jamal Lowe"
"78","FWD",51,"Bournemouth",51,"Kieffer Moore"
"79","MID",47,"Bournemouth",1,"Emiliano Marcondes"
"80","MID",47,"Bournemouth",63,"Jefferson Lerma"
"81","DEF",43,"Bournemouth",5,"Jack Stacey"
"82","FWD",55,"Bournemouth",76,"Dominic Solanke"
"83","MID",49,"Bournemouth",44,"Lewis Cook"
"84","MID",44,"Bournemouth",9,"Ben Pearson"
"85","MID",53,"Bournemouth",37,"Ryan Christie"
"86","MID",51,"Bournemouth",83,"Philip Billing"
"87","DEF",43,"Bournemouth",27,"Chris Mepham"
"88","GK",42,"Bournemouth",25,"Mark Travers"
"89","DEF",43,"Bournemouth",27,"Lloyd Kelly"
"90","MID",47,"Bournemouth",6,"Siriki Dembélé"
"91","MID",52,"Bournemouth",46,"Jaidon Anthony"
"92","DEF",43,"Bournemouth",47,"Jordan Zemura"
"93","GK",39,"Bournemouth",0,"Will Dennis"
"94","DEF",43,"Bournemouth",20,"Jack Stephens"
"95","MID",49,"Bournemouth",16,"Joe Rothwell"
"96","MID",47,"Bournemouth",70,"Marcus Tavernier"
"97","DEF",44,"Bournemouth",0,"James Hill"
"98","GK",40,"Bournemouth",0,"Darren Randolph"
"99","GK",45,"Bournemouth",47,"Norberto Neto"
"100","DEF",44,"Bournemouth",47,"Marcos Senesi"
