"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"1","Eric Bailly","DEF","Man Utd",0,0,0,0,0,0,286,6,0,0,0,0,"2021-08-14T11:30:00Z",0,10,0,0,0,0,1,0,9363,1,5,0,0,0,0,0,50,"True",0,1
"4","James Ward-Prowse","MID","Southampton",2.3,0,0,20,0,30.5,341,4,3,0,5.2,21.6,"2021-08-14T14:00:00Z",90,8,0,0,0,0,1,0,299682,1,3,0,2,0,0,0,65,"False",0,1
"5","Bruno Miguel Borges Fernandes","MID","Man Utd",4.4,0,3,61,0,35.9,277,6,1,3,20.1,106.2,"2021-08-14T11:30:00Z",90,10,0,0,0,0,1,0,3381004,1,5,59,20,0,0,0,120,"True",0,1
"6","Adrián San Miguel del Castillo","GK","Liverpool",2.8,0,0,0,0,0,223,7,0,0,0,0,"2021-08-14T16:30:00Z",0,15,0,0,0,0,1,0,17548,3,0,0,0,0,0,0,45,"False",0,1
"14","José Diogo Dalot Teixeira","DEF","Man Utd",2.2,0,0,0,0,0,510,6,0,0,0,0,"2021-08-14T11:30:00Z",0,10,0,0,0,0,1,0,4750,1,5,0,0,0,0,0,45,"True",0,1
"27","Diogo Jota","MID","Liverpool",3.5,0,0,21,1,1.9,240,7,0,1,7.6,37.8,"2021-08-14T16:30:00Z",60,15,0,0,0,0,1,0,777536,3,0,36,8,0,0,0,75,"False",0,1
"29","Luke Shaw","DEF","Man Utd",3.1,0,0,5,0,28.7,275,6,1,0,4.1,6.2,"2021-08-14T11:30:00Z",90,10,0,0,0,0,1,0,3743944,1,5,6,1,0,0,0,55,"True",1,1
"30","Armando Broja","FWD","Southampton",1.3,0,0,0,0,0,518,4,0,0,0,0,"2021-08-14T14:00:00Z",0,8,0,0,0,0,1,0,50205,1,3,0,0,0,0,0,50,"False",0,1
"35","Juan Mata","MID","Man Utd",1.9,0,0,0,0,0,459,6,0,0,0,0,"2021-08-14T11:30:00Z",0,10,0,0,0,0,1,0,3734,1,5,0,0,0,0,0,50,"True",0,1
"38","Harvey Elliott","MID","Liverpool",2.9,0,0,3,0,0.8,506,7,0,0,0.3,0.4,"2021-08-14T16:30:00Z",7,15,0,0,0,0,1,0,6475,3,0,2,1,0,0,0,55,"False",0,1
