"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","expected_assists","expected_goal_involvements","expected_goals","expected_goals_conceded","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","starts","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"1","Nathan Redmond","MID","Southampton",1.5,0,0,3,0,0,403,0,0,0,0,8,0,0,0,0,"2022-08-06T14:00:00Z",1,18,0,0,0,0,1,0,5871,0,1,4,0,1,0,0,0,55,"False",0,1
"2","Junior Stanislas","MID","Bournemouth",1.1,0,0,3,0,0,58,0,0,0,0,2,0,0,0,0,"2022-08-06T14:00:00Z",1,2,0,0,0,0,1,0,9491,0,0,2,0,1,0,0,0,50,"True",0,1
"6","Brennan Johnson","FWD","Nott'm Forest",1.3,0,0,3,0,0.9,394,0,0,0,0,7,2,0,0.6,0,"2022-08-06T14:00:00Z",90,15,0,0,0,0,1,0,171887,0,0,2,6,2,0,0,0,60,"False",0,1
"8","Oliver Hammond","MID","Nott'm Forest",0.5,0,0,0,0,0,553,0,0,0,0,7,0,0,0,0,"2022-08-06T14:00:00Z",0,15,0,0,0,0,1,0,3300,0,0,2,0,0,0,0,0,45,"False",0,1
"10","Fin Stevens","DEF","Brentford",1,0,0,0,0,0,540,0,0,0,0,6,0,0,0,0,"2022-08-07T13:00:00Z",0,10,0,0,0,0,1,0,15679,0,2,2,0,0,0,0,0,40,"False",0,1
"15","Alisson Ramses Becker","GK","Liverpool",5.5,0,0,11,0,0,281,0,0,0,0,4,2,0,0.8,8.2,"2022-08-06T11:30:00Z",90,9,0,0,0,0,1,1,1567712,0,2,2,0,1,0,0,0,55,"False",0,1
"16","Che Adams","FWD","Southampton",1.5,0,0,0,0,0,411,0,0,0,0,8,0,0,0,0,"2022-08-06T14:00:00Z",0,18,0,0,0,0,1,0,61566,0,1,4,0,0,0,0,0,65,"False",0,1
"19","Nathaniel Phillips","DEF","Liverpool",2.5,0,0,0,0,0,501,0,0,0,0,4,0,0,0,0,"2022-08-06T11:30:00Z",0,9,0,0,0,0,1,0,19157,0,2,2,0,0,0,0,0,40,"False",0,1
"20","Loïc Mbe Soh","DEF","Nott'm Forest",1.4,0,0,0,0,0,393,0,0,0,0,7,0,0,0,0,"2022-08-06T14:00:00Z",0,15,0,0,0,0,1,0,3761,0,0,2,0,0,0,0,0,45,"False",0,1
"24","Carlos Ribeiro Dias","MID","Nott'm Forest",0.5,0,0,0,0,0,383,0,0,0,0,7,0,0,0,0,"2022-08-06T14:00:00Z",0,15,0,0,0,0,1,0,42723,0,0,2,0,0,0,0,0,45,"False",0,1
"30","Cristiano Ronaldo dos Santos Aveiro","FWD","Man Utd",4.1,0,0,3,0,11.5,326,0,0,0,0,9,0,0,3.6,4.6,"2022-08-07T13:00:00Z",37,5,0,0,0,0,1,0,352984,0,2,1,20,1,0,0,0,105,"True",0,1
"32","Alex Oxlade-Chamberlain","MID","Liverpool",0,0,0,0,0,0,278,0,0,0,0,4,0,0,0,0,"2022-08-06T11:30:00Z",0,9,0,0,0,0,1,0,1145,0,2,2,0,0,0,0,0,50,"False",0,1
"35","Will Smallbone","MID","Southampton",0,0,0,0,0,0,415,0,0,0,0,8,0,0,0,0,"2022-08-06T14:00:00Z",0,18,0,0,0,0,1,0,2166,0,1,4,0,0,0,0,0,45,"False",0,1
"40","Ibrahima Konaté","DEF","Liverpool",0,0,0,0,0,0,290,0,0,0,0,4,0,0,0,0,"2022-08-06T11:30:00Z",0,9,0,0,0,0,1,0,57031,0,2,2,0,0,0,0,0,50,"False",0,1
"42","Christian Eriksen","MID","Man Utd",2.8,0,0,17,0,42.5,519,0,0,0,0,9,2,0,10.5,28.6,"2022-08-07T13:00:00Z",90,5,0,0,0,0,1,0,361793,0,2,1,34,2,0,0,0,65,"True",0,1
"45","Roméo Lavia","MID","Southampton",0.5,0,0,17,0,4.3,321,0,0,0,0,8,4,0,2.4,12,"2022-08-06T14:00:00Z",90,18,0,0,0,0,1,0,18407,0,1,4,8,2,0,0,0,45,"False",0,1
"46","Kristoffer Ajer","DEF","Brentford",0,0,0,0,0,0,84,0,0,0,0,6,0,0,0,0,"2022-08-07T13:00:00Z",0,10,0,0,0,0,1,0,2520,0,2,2,0,0,0,0,0,45,"False",0,1
"48","Joe Ayodele-Aribo","MID","Southampton",1.5,0,0,5,0,5.2,512,0,0,0,0,8,4,0,3.8,9.4,"2022-08-06T14:00:00Z",90,18,0,0,0,0,1,0,50924,0,1,4,23,2,0,0,0,55,"False",0,1
"49","Orel Mangala","MID","Nott'm Forest",1.1,0,0,3,0,0.2,536,0,0,0,0,7,1,0,0.3,2.6,"2022-08-06T14:00:00Z",15,15,0,0,0,0,1,0,3088,0,0,2,0,1,0,0,0,50,"False",0,1
"55","Stuart Armstrong","MID","Southampton",1.1,0,0,0,0,2.6,405,0,0,0,0,8,2,0,0.6,3.4,"2022-08-06T14:00:00Z",45,18,0,0,0,0,1,0,9352,0,1,4,0,1,0,0,0,50,"False",0,1
"56","Oriol Romeu Vidal","MID","Southampton",1.1,0,0,9,0,3.8,402,0,0,0,0,8,4,0,1.2,6.2,"2022-08-06T14:00:00Z",74,18,0,0,0,0,1,0,10319,0,1,4,2,2,0,0,0,50,"False",0,1
"65","Diogo Teixeira da Silva","FWD","Liverpool",0,0,0,0,0,0,288,0,0,0,0,4,0,0,0,0,"2022-08-06T11:30:00Z",0,9,0,0,0,0,1,0,55789,0,2,2,0,0,0,0,0,90,"False",0,1
"69","Mohammed Salisu","DEF","Southampton",1.4,0,0,7,0,17,420,0,0,0,0,8,4,0,3.9,16,"2022-08-06T14:00:00Z",90,18,1,0,0,0,1,0,14247,0,1,4,6,-2,0,0,0,45,"False",0,1
"70","Frederico Rodrigues de Paula Santos","MID","Man Utd",2.5,0,0,6,0,3.1,331,0,0,0,0,9,2,0,0.5,1,"2022-08-07T13:00:00Z",52,5,0,0,0,0,1,0,83919,0,2,1,1,1,0,0,0,55,"True",0,1
"76","Lewis Cook","MID","Bournemouth",1.1,0,0,4,0,0.3,67,0,0,0,0,2,0,0,0.8,7.2,"2022-08-06T14:00:00Z",18,2,0,0,0,0,1,0,4802,0,0,2,0,1,0,0,0,50,"True",0,1
"79","Calvin Ramsay","DEF","Liverpool",2.5,0,0,0,0,0,298,0,0,0,0,4,0,0,0,0,"2022-08-06T11:30:00Z",0,9,0,0,0,0,1,0,19927,0,2,2,0,0,0,0,0,40,"False",0,1
"80","Steve Cook","DEF","Nott'm Forest",1.4,0,0,0,0,0,379,0,0,0,0,7,0,0,0,0,"2022-08-06T14:00:00Z",0,15,0,0,0,0,1,0,14958,0,0,2,0,0,0,0,0,45,"False",0,1
"82","Sékou Mara","FWD","Southampton",1,0,0,0,0,0,528,0,0,0,0,8,0,0,0,0,"2022-08-06T14:00:00Z",0,18,0,0,0,0,1,0,7535,0,1,4,0,0,0,0,0,55,"False",0,1
"83","Scott McTominay","MID","Man Utd",2.1,0,0,1,0,2.1,338,0,0,0,0,9,2,0,2.7,0,"2022-08-07T13:00:00Z",77,5,0,0,0,0,1,0,22964,0,2,1,26,1,0,0,0,50,"True",1,1
"84","Xande Nascimento da Costa Silva","MID","Nott'm Forest",0,0,0,0,0,0,390,0,0,0,0,7,0,0,0,0,"2022-08-06T14:00:00Z",0,15,0,0,0,0,1,0,1985,0,0,2,0,0,0,0,0,50,"False",0,1
"85","Dean Henderson","GK","Nott'm Forest",1.7,0,0,26,0,0,398,0,0,0,0,7,2,0,4.8,48,"2022-08-06T14:00:00Z",90,15,0,0,0,0,1,7,434219,0,0,2,0,3,0,0,0,45,"False",0,1
"86","Jack Stacey","DEF","Bournemouth",1.4,0,0,0,0,0,65,0,0,0,0,2,0,0,0,0,"2022-08-06T14:00:00Z",0,2,0,0,0,0,1,0,4613,0,0,2,0,0,0,0,0,45,"True",0,1
"90","Armel Bella-Kotchap","DEF","Southampton",1.4,0,0,0,0,0,423,0,0,0,0,8,0,0,0,0,"2022-08-06T14:00:00Z",0,18,0,0,0,0,1,0,5917,0,1,4,0,0,0,0,0,45,"False",0,1
"91","Ainsley Maitland-Niles","MID","Arsenal",2.1,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,"2022-08-05T19:00:00Z",0,7,0,0,0,0,1,0,4894,0,2,0,0,0,0,0,0,50,"False",0,1
"92","James Milner","MID","Liverpool",2.5,0,0,1,0,4.7,274,0,0,0,0,4,1,0,1.6,3.2,"2022-08-06T11:30:00Z",31,9,0,0,0,0,1,0,62173,0,2,2,8,1,0,0,0,45,"False",0,1
"93","Keane Lewis-Potter","MID","Brentford",2,0,0,3,0,0.2,515,0,0,0,0,6,0,0,0.7,5.2,"2022-08-07T13:00:00Z",31,10,0,0,0,0,1,0,9624,0,2,2,2,1,0,0,0,55,"False",0,1
"95","Sepp van den Berg","DEF","Liverpool",2.5,0,0,0,0,0,500,0,0,0,0,4,0,0,0,0,"2022-08-06T11:30:00Z",0,9,0,0,0,0,1,0,19524,0,2,2,0,0,0,0,0,40,"False",0,1
"99","Ben Mee","DEF","Brentford",1.9,0,0,9,0,1.4,526,0,0,0,0,6,2,0,0.9,7.8,"2022-08-07T13:00:00Z",58,10,0,0,0,0,1,0,26294,0,2,2,0,0,0,0,0,45,"False",0,1
"100","Marcus Oliveira Alencar","MID","Arsenal",2.1,0,0,0,0,0,27,0,0,0,0,1,0,0,0,0,"2022-08-05T19:00:00Z",0,7,0,0,0,0,1,0,8331,0,2,0,0,0,0,0,0,50,"False",0,1
"103","Bruno Borges Fernandes","MID","Man Utd",3.7,0,0,14,0,35,333,0,0,0,0,9,2,0,5.4,10.8,"2022-08-07T13:00:00Z",89,5,0,0,0,0,1,0,266667,0,2,1,8,2,0,0,0,100,"True",0,1
"106","Mark Travers","GK","Bournemouth",1.7,0,0,24,1,0,72,0,0,0,0,2,0,0,1.5,14.6,"2022-08-06T14:00:00Z",90,2,0,0,0,0,1,2,24837,0,0,2,0,6,0,0,0,45,"True",0,1
"107","Jordan Zemura","DEF","Bournemouth",1.4,0,0,25,1,10.7,76,0,0,0,0,2,0,0,3.4,21.6,"2022-08-06T14:00:00Z",90,2,0,0,0,0,1,0,9212,0,0,2,2,6,0,0,0,45,"True",0,1
"108","Rob Holding","DEF","Arsenal",2.4,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,"2022-08-05T19:00:00Z",0,7,0,0,0,0,1,0,14331,0,2,0,0,0,0,0,0,45,"False",0,1
